time,open,high,low,close
2024-07-26,33724.68,33888.82,33675.859,33812.441
2024-07-29,34023.141,34065.078,33572.93,33640.828
2024-07-30,33716.57,34051.828,33649.359,33908.02
2024-07-31,34034.18,34061.852,33674.391,33763.859
2024-08-01,33608.32,33625.672,32785.93,32857.43
2024-08-02,32213.24,32529.99,31909.49,32018.82
2024-08-05,31458.381,31475.949,30652.98,31293.52
2024-08-06,31445.721,31542.199,30868.25,31107.131
2024-08-07,31352.27,31914.27,31217.061,31831.641
2024-08-08,31554.199,31781.59,31287.68,31741.91
2024-08-09,31813.73,32059.381,31630.43,31782.23
2024-08-12,31889.15,32066.221,31810.52,31928.32
2024-08-13,32078.16,32096.42,31782.199,32006.449
2024-08-14,32187.811,32343.619,32150,32328.029
2024-08-16,32988.039,33108.531,32828.32,33040.809
2024-08-19,33052.781,33364.5,33046.949,33266.32
2024-08-20,33344.191,33461.461,33066.922,33075.621
2024-08-21,33108.422,33382.34,33106.141,33312.41
2024-08-22,33306.809,33435.602,33277.199,33310.93
2024-08-23,33429.199,33704.219,33413.91,33650.172
2024-08-26,33632.449,33703.57,33546.301,33604.801
2024-08-27,33654.371,33836.18,33630.75,33778.801
2024-08-28,33831.82,33961.852,33811.16,33880.051
2024-08-29,33907.781,34193.871,33906.84,34192.059
2024-08-30,34261.621,34446.012,34248.879,34372.672
2024-09-02,34392.75,34421.129,34169.59,34320.602
2024-09-03,34362.238,34428.57,33796.91,33863.43
2024-09-04,33387.66,33803.199,33373.77,33682.262
2024-09-05,33579.82,33841.398,33551.211,33684.801
2024-09-06,33610.891,33841.148,33243.051,33291.391
2024-09-09,33427.73,33698.72,33423.39,33590.34
2024-09-10,33547.211,33732.211,33161.34,33213.289
2024-09-11,33200.102,33414.949,32973.59,33174.422
2024-09-12,33538.359,33600.059,33171.289,33453.781
2024-09-13,33496.4,33679.87,33445.58,33568.47
2024-09-16,33422.27,33733.8,33415.53,33569.98
2024-09-17,33689.1,33931.28,33671.45,33780.28
2024-09-18,33800.78,33861.17,33607.09,33655.49
2024-09-19,33986.19,34047.7,33768.9,34044.86
2024-09-20,33906.14,33995.49,33731.91,33762.25
2024-09-23,33764.62,33790.31,33484.91,33679.8
2024-09-24,33882.81,33951.76,33762.31,33881.26
2024-09-25,33764.25,33987.58,33698.77,33840.54
2024-09-26,34084.26,34440.52,34084.26,34409.34
2024-09-27,34397.13,34737.62,34353.64,34727.4
2024-09-30,34599.89,34623.16,34085.34,34125.26
2024-10-01,34231.23,34248.62,33695.17,33771.08
2024-10-02,33728.01,33969.75,33494.21,33675.26
2024-10-03,33573.59,33635.1,33128.97,33170.03
2024-10-04,33197.99,33661.1,33197.99,33594.12
2024-10-07,33717.63,33842.27,33448.09,33814.52
2024-10-08,33650.04,33886.79,33503.2,33733.9
2024-10-09,33744.4,33933.63,33603.37,33933.03
2024-10-10,33935.25,34100.09,33900.52,34077.42
2024-10-11,34080.13,34312.1,33978.99,34308.01
2024-10-14,34419.94,34691.21,34329.45,34680.55
2024-10-15,34736.97,34880.4,34543.21,34578.45
2024-10-16,34423.55,34720.46,34408.94,34660
2024-10-17,34774.83,35148.57,34774.19,35038.73
2024-10-18,35032.96,35205.78,35005.72,35204.26
2024-10-21,35182.09,35277.61,34953.56,34955.95
2024-10-22,34936.83,34945.78,34510.87,34733.52
2024-10-23,34674.65,34827.5,34625.41,34697.23
2024-10-24,34776.7,35014.27,34698.81,34698.81
2024-10-25,34726.82,34883.91,34633.74,34776.1
2024-10-28,34959.66,35032.02,34697.82,35016.44
2024-10-29,35126.88,35245.16,34901.26,34925.59
2024-10-30,34766.84,34783.35,34359.79,34502.7
2024-10-31,34192.31,34463.91,34079.61,34281.24
2024-11-01,34314.35,34766.14,34281.69,34676.17
2024-11-04,34667.6,34818.88,34536.52,34540.73
2024-11-05,34545.9,34706.16,34343.88,34472.06
2024-11-06,34614.99,34968.58,33829.43,33940.72
2024-11-07,34095.7,34375.85,33935.11,33981.23
2024-11-08,33991.69,33995.38,33602.43,33816.58
2024-11-11,34087.37,34380.71,34034.93,34343.83
2024-11-12,34076.73,34169.01,33604.16,33607.14
2024-11-13,33575.48,33856.3,33475.16,33707.52
2024-11-14,33814.81,34364.76,33745.49,34358.16
2024-11-15,34264.71,34470.36,34145.29,34191.79
2024-11-18,33888.98,33890.26,33489.81,33758.43
2024-11-19,33787.78,33830.17,32787.77,33324.73
2024-11-20,33529.92,33544.04,33131.02,33227.7
2024-11-21,33251.82,33329.85,32859.66,33294.96
2024-11-22,33503.32,33541.37,32959.88,33494.83
2024-11-25,33665.72,33708.38,33291.16,33427.72
2024-11-26,33242.34,33389.78,32988.4,33167.64
2024-11-27,32993.44,33089.89,32709.22,33089.72
2024-11-28,33235.76,33358.02,33145.09,33260.13
2024-11-29,33155.78,33422.29,33105.83,33414.56
2024-12-02,33238.13,33598.02,33100.31,33483.17
2024-12-03,33614.24,33958.37,33608.58,33829.34
2024-12-04,33937.44,34270.87,33935.51,34083.91
2024-12-05,34121.12,34652.26,34117.03,34626.28
2024-12-06,34658.93,34886,34648.82,34749.5
2024-12-09,34955.11,34965.31,34552.82,34559.83
2024-12-10,34544.35,34621.04,34394.03,34524.7
2024-12-11,34557.84,34753.1,34537.73,34731.31
2024-12-12,34841.03,34959.21,34828.52,34857.37
2024-12-13,34906.79,35007.21,34821.23,34888.79
2024-12-16,34904.59,35004.86,34659.93,34740.25
2024-12-17,34474.13,34601.64,34237.82,34315.24
2024-12-18,34318.44,34505.14,34210.01,34400.99
2024-12-19,34026.24,34170.28,33708.16,33787
2024-12-20,33519.24,33792.62,33266.92,33766.29
2024-12-23,33648.38,33849.64,33541.4,33739.9
2024-12-27,33821.18,34160.97,33623.67,34160.97
2024-12-30,34062.02,34339.73,33966.3,34186.18
2025-01-02,34348.16,34456.18,33780.24,34374.77
2025-01-03,34372.27,34377.11,34052.29,34127.62
2025-01-06,34257.18,34781.53,34167.01,34780.81
2025-01-07,34723.86,34952.25,34356.31,34938.9
2025-01-08,34940.46,35268.26,34843.04,35108.74
2025-01-09,34960.65,35390.78,34854.63,35315.51
2025-01-10,35375.22,35433.29,35090.23,35090.23
2025-01-13,34968.71,35005.05,34619.53,34799.27
2025-01-14,35023.87,35218.82,34981.38,35124.59
2025-01-15,35232.03,35701.45,35176.7,35646.96
2025-01-16,35889.69,36011.16,35767.95,35819.79
2025-01-17,35941.39,36314.18,35929.99,36267.63
2025-01-20,36242.67,36351.15,36074.56,36143.83
2025-01-21,36082.06,36138.63,35922.44,36059.17
2025-01-22,36098.74,36222.68,35821.18,35854.07
2025-01-23,35854.09,36124.3,35789.02,36112.84
2025-01-24,36300.03,36472.55,36119.07,36200.72
2025-01-27,36109.71,36337.29,35897.88,36191.17
2025-01-28,36254.68,36500.97,36121.6,36147.06
2025-01-29,36294.88,36409.53,36162.85,36371.67
2025-01-30,36464.71,36475.47,36297.52,36429.72
2025-01-31,36552.32,36628.29,36378.17,36471.75
2025-02-03,35928.85,36303.14,35816.01,36218.98
2025-02-04,36341.51,36720.36,35914.1,36719.35
2025-02-05,36597.09,36600.48,36407.58,36581.48
2025-02-06,36709.22,37121.77,36654.79,37121.77
2025-02-07,37123.31,37181.94,36971.12,37055.7
2025-02-10,37121.5,37260.11,37076.57,37242.17
2025-02-11,37302.84,37584.85,37133.36,37582.05
2025-02-12,37738.54,37803.48,37519.16,37531.19
2025-02-13,37769.92,37908.05,37547.4,37908.05
2025-02-14,37878.93,38152.37,37835.64,37977.59
2025-02-17,37998.32,38422.78,37997.13,38327.72
2025-02-18,38466.65,38580.51,38418.34,38554.15
2025-02-19,38665.74,38882.95,38320.27,38348.16
2025-02-20,38404.65,38531.73,38179.3,38249.03
2025-02-21,38405.06,38492.26,38284.55,38421.05
2025-02-24,38432.53,38594.07,38155.46,38472.56
2025-02-25,38323.34,38909.95,38303.2,38714.52
2025-02-26,38825.64,39251.82,38798.41,39224.71
2025-02-27,39043.93,39046.02,38379.55,38622.84
2025-02-28,38415.19,38691.28,38323.82,38655.09
2025-03-03,38644.2,39247.52,38403.69,39069.4
2025-03-04,38708.36,38813.92,37558.4,37736.16
2025-03-05,38256.36,38762.14,38149.73,38519.4
2025-03-06,38817.96,38930.99,38359.48,38779.67
2025-03-07,38571.68,38802.33,38321.96,38592.81
2025-03-10,38817.35,38884.46,38085.51,38225.82
2025-03-11,38344.82,38381.13,37532.96,37698.31
2025-03-12,38011.49,38379.86,37961.27,38307.11
2025-03-13,38111.75,38385.22,37857.84,37999.73
2025-03-14,37955.01,38661.35,37783.81,38655.3
2025-03-17,38691.12,39063.41,38591.55,39022.4
2025-03-18,39183.56,39569.03,39154.14,39533.71
2025-03-19,39417.56,39752.78,39375.11,39712.66
2025-03-20,39775.46,39825.91,38946.47,39188.17
2025-03-21,38975.36,39232.29,38862.42,39035.71
2025-03-24,39261.54,39368.45,38881.06,38972.81
2025-03-25,39089.56,39498.66,39083.8,39384.95
2025-03-26,39560.84,39604.21,39025.52,39058.1
2025-03-27,38700.79,39191.36,38432.51,39098.86
2025-03-28,39031.69,39095.99,38636.18,38739.3
2025-03-31,38440.39,38440.85,37874.46,38051.99
2025-04-01,38240.4,38623.58,38154.06,38557.38
2025-04-02,38426.91,38562.68,38042.78,38454.2
2025-04-03,37640.46,37942.07,37006.92,37070.83
2025-04-04,36639.62,36762.3,34090.54,34649.22
2025-04-07,34285.71,34408.3,31945.73,32853.98
2025-04-08,33361,34068.27,32663.62,33657.05
2025-04-09,32622.58,33149.54,32182.22,32730.57
2025-04-10,32784.53,35468.93,32769.28,34277.09
2025-04-11,34613.01,34661.7,33580.8,34027.83
2025-04-14,34640.29,35115.64,34582.67,35007.14
2025-04-15,35188.55,35890.91,35188.55,35843.82
2025-04-16,35570.54,36067.57,35336.53,36067.57
2025-04-17,36046.43,36134.92,35796.07,35980.43
2025-04-22,35731.21,35947.89,35508.53,35947.89
2025-04-23,36376.05,36535.63,36219.93,36457.68
2025-04-24,36426.54,36891.4,36393.78,36808.69
2025-04-25,37060.44,37368.8,36882.03,37348.38
2025-04-28,37582.33,37718.31,37430.85,37465.52
2025-04-29,37646.74,37900.68,37574.67,37874.75
2025-04-30,38022.73,38123.7,37131.19,37604.82
2025-05-02,38063.87,38347.75,37902.31,38327.94
2025-05-05,38311.38,38503.1,38164.43,38475.55
2025-05-06,38577.2,38635.27,38095.61,38560.25
2025-05-07,38518.98,38687.84,38269.63,38319.89
2025-05-08,38479.52,38989.49,38422.69,38974.3
2025-05-09,39203.46,39481.56,39130.89,39369.99
2025-05-12,39956.65,40207.47,39634.59,39921.61
2025-05-13,39925.17,40105.95,39890.04,40077.49
2025-05-14,40097.11,40356.68,39983.8,40356.68
2025-05-15,40193.51,40418.82,40074.43,40418.82
2025-05-16,40541,40708.6,40468.75,40656.26
2025-05-19,40022.16,40168.11,39822.66,40166.77
2025-05-20,40343.8,40523.36,40155.41,40522.44
2025-05-21,40511.68,40631.05,40302.57,40551.22
2025-05-22,40365.92,40377.04,40064.38,40256.59
2025-05-23,40306.76,40359.25,38877.3,39475.36
2025-05-26,40061.83,40110.93,39806.28,39988.48
2025-05-27,40032.22,40277.52,39958.41,40124.9
2025-05-28,40205.35,40484.8,40122.07,40127.75
2025-05-29,40429.05,40444.77,39909.5,39982.97
2025-05-30,40009.55,40350.2,39994.56,40087.4
2025-06-02,39954.76,40151.97,39692.78,39984.15
2025-06-03,40093.43,40120.55,39626.72,40074.47
2025-06-04,40223.72,40238.53,39849.42,40080.88
2025-06-05,40046.31,40379.6,39979,40379.29
2025-06-06,40327.21,40650.54,40257.11,40601.94
2025-06-09,40603.54,40675.72,40374.27,40461.79
2025-06-10,40509.9,40533.6,40207.57,40207.57
2025-06-11,40260.25,40351.77,40020.34,40180.24
2025-06-12,39904.94,40077.75,39603.34,39948.39
2025-06-13,39397.1,39584.33,39199.89,39438.75
2025-06-16,39558.15,39929.83,39557.07,39929.18
2025-06-17,39668.33,39677.05,39295.87,39387.22
2025-06-18,39446.01,39546.48,39230.31,39418.61
2025-06-19,39261.5,39319.52,38940.6,38942.19
2025-06-20,39105.16,39514.43,39041.46,39231.35
2025-06-23,38915.67,39140.86,38605.47,38840.51
2025-06-24,39452.4,39526.73,39279.91,39474.46
2025-06-25,39613.08,39651.18,39237.57,39319.14
2025-06-26,39435.31,39547.39,39114.99,39351.32
2025-06-27,39586.28,39742.21,39346.31,39742.21
2025-06-30,39893.27,39895.37,39598.83,39792.22
2025-07-01,39754.14,39763.07,39480.65,39561.3
2025-07-02,39755.44,39889.81,39520.56,39785.28
2025-07-03,39860.05,39944.83,39605.13,39943.15
2025-07-04,39875.23,39936.93,39544.65,39622.11
2025-07-07,39618.2,39930.03,39580.69,39914.25
2025-07-08,40017.22,40233.41,39825.85,40182.62
2025-07-10,40951.56,40965.75,40514.09,40528.17
2025-07-11,40428.2,40490.47,39869.47,40077.88
2025-07-14,39675.27,40189.61,39649.86,40186.35
2025-07-15,40280.86,40342.83,39906.59,39921.25
2025-07-16,39815.99,40108.19,39752.68,39762.52
2025-07-17,40055.05,40130.36,39877.9,40128.7
2025-07-18,40284.13,40402.95,40239.79,40311.99
2025-07-21,40138.54,40171.94,39870.24,40166.6
2025-07-22,40080.31,40215.27,39947.11,40165.15
2025-07-23,40508.22,40991.39,40435.66,40697.49
2025-07-24,41077.74,41136.28,40441.43,40599.68
2025-07-25,40574.51,40810.17,40423.48,40726.26
2025-07-28,41097.25,41210.93,40665.36,40732.34
2025-07-29,40817.25,41373.41,40817.25,41234.31
2025-07-30,41184.42,41749.29,41132.62,41637.73
2025-07-31,41797.44,41800.86,40898.45,40987.69
2025-08-01,40682.47,40685.52,39714.43,39942.82
2025-08-04,40159.28,40760.81,40153.43,40697.38
2025-08-05,40877.46,40900.78,40536.12,40743.52
2025-08-06,40883.4,41055.53,40823.39,41009.73
2025-08-07,41120.53,41411.97,41041.99,41392.99
2025-08-08,41504.71,41897.64,41461.15,41623.86
2025-08-11,41748.77,41821.02,41526.31,41583.59
2025-08-12,41725.64,41978.36,41705.06,41935.42
2025-08-13,42013.7,42277.4,42000.2,42186.37
2025-08-14,42281.42,42687.71,42263.24,42653.97
2025-08-18,42827.26,42827.26,42496.73,42641.72
2025-08-19,42774.18,43029.3,42738.58,43021.22
2025-08-20,42901.4,42985.19,42811.26,42864.81
2025-08-21,42902.95,43069.42,42783.1,43013.44
2025-08-22,42933.57,43564.12,42928.94,43310.28
2025-08-25,43160.26,43432.16,43132.11,43227.7
2025-08-26,42944.88,42944.88,42653.42,42654.95
2025-08-27,42733.76,42810.63,42203.29,42349.41
2025-08-28,42359.82,42687.54,42293.42,42447.1
2025-08-29,42303.17,42454.31,42155.84,42196.2
2025-09-01,42378.37,42580.61,42280.97,42409.71
2025-09-02,42451.42,42501.09,41705.77,41727.58
2025-09-03,41979.17,42039.92,41690.61,41784.66
2025-09-04,41843.47,42088.99,41716.34,41989.71
2025-09-05,42157.48,42202.8,41468.18,41607.81
2025-09-08,41815.18,41879.14,41628.32,41723.69
2025-09-09,41844.23,42085.78,41751.99,42008.22
2025-09-10,42079.01,42227.98,41879.26,42059.74
2025-09-11,42118.19,42534.75,42029.82,42432.42
2025-09-12,42463.74,42567.89,42259.19,42566.41
2025-09-15,42770.87,43090.75,42745.12,43053.72
2025-09-16,43098.48,43111.43,42489.65,42504.56
2025-09-17,42586.15,42589.74,41884.94,41954.98
2025-09-18,42222.85,42315.27,42021.07,42307.81
2025-09-19,42288.82,42690.86,42265.42,42312.28
2025-09-22,42255.85,42439.25,41942.76,42423.18
2025-09-23,42566.64,42677.59,42307.14,42477.76
2025-09-24,42382.35,42531,42154.8,42423.12
2025-09-25,42375.77,42439.76,42135.4,42242.49
2025-09-26,42394.44,42721.02,42298.15,42646.23
2025-09-29,42743.12,42777.15,42497.33,42554.4
2025-09-30,42514.54,42762.5,42335.8,42725.32
2025-10-01,42686.01,43109.27,42444.35,43079.58
2025-10-02,43325.26,43370.39,43026.73,43078.13
2025-10-03,43308.59,43369.86,43175.42,43258.11
2025-10-06,43262.78,43355.6,42811,43146.13
2025-10-07,43058.12,43415.28,42967.86,43070.95
2025-10-08,43151.5,43540.41,43149.45,43484.24
2025-10-09,43450.81,43455.67,42791.6,42791.6
2025-10-10,42897.63,43051.73,42043.8,42047.5
2025-10-13,42225.73,42450.89,42012.96,42167.59
2025-10-14,41710.72,42080.19,41523.81,42075.66
2025-10-15,42344.53,42457.56,41880.69,41906.9
2025-10-16,42083.75,42375,41711.12,42374.18
2025-10-17,41681.78,42013.32,41360.08,41758.11
2025-10-20,42128.33,42496.14,42093.83,42392.36
2025-10-21,42547.04,42838.4,42499.63,42648.28
2025-10-23,42248.71,42476.45,42204.48,42381.93
2025-10-24,42569.46,42570.09,42199.11,42486.67
2025-10-27,42651.6,42975.42,42626.74,42911.57
2025-10-28,42914.15,43128.72,42796.11,43128.53
2025-10-29,43122.19,43395.26,43054.22,43242.53
2025-10-30,43263.01,43277.21,42825.72,43202.4
2025-10-31,43259.38,43493.43,43029.43,43175.32
2025-11-03,43143.45,43543.42,43109.17,43223
2025-11-04,42779.95,43262.35,42510.11,43262.35
2025-11-05,43000.16,43478.83,42940.11,43438.49
2025-11-06,43498.27,43498.27,43011.08,43068.69
2025-11-07,43259.73,43341.38,42695.29,42917.67
2025-11-10,43415,43984.77,43390.79,43895.67
2025-11-11,43928.38,44450.16,43928.38,44438.88
2025-11-12,44617.27,45071.84,44594.32,44792.64
2025-11-13,44956.09,45056.42,44755.36,44755.36
2025-11-14,44370.92,44470.03,43635.82,43994.69
2025-11-17,43997.86,44146.16,43656.24,43767.28
2025-11-18,43061.59,43178.6,42651.41,42838.64
2025-11-19,42835.26,43028.85,42450.07,42651.49
2025-11-20,43052.11,43292.25,42881.11,42917.64
2025-11-21,42294.85,42819,42251.7,42661.67
2025-11-24,42571.55,42625.48,42159.58,42298.17
2025-11-25,42352.17,42783.02,42018.31,42698.66
2025-11-26,42862.6,43155.99,42644.01,43130.32
2025-11-27,43117.39,43278.11,43065,43219.87
2025-11-28,43235.81,43393.52,43104.25,43357.01
2025-12-01,43168.13,43267.52,42857.94,43259.48
2025-12-02,43349.31,43599.31,43277.15,43354.83
2025-12-03,43442.85,43714.49,43313.9,43380.64
2025-12-04,43522.96,43547.77,43249.26,43519.07
2025-12-05,43594.21,43675.76,43422.16,43432.77
2025-12-08,43395.35,43492.63,43301.67,43432.82
2025-12-09,43560.78,43824.29,43461.9,43574.5
2025-12-10,43393.14,43495.24,43213.46,43465.34
2025-12-11,43436.68,43852.81,43309.6,43702.01
2025-12-12,43828.45,44049.63,43491.52,43513.95
2025-12-15,43754.61,44201.95,43724.6,44116.96
2025-12-16,44069.51,44366.53,43984.3,43990.48
