
 
Aug 2026 Prices - 17 July 2026
Strike	Type	Open	High	Low	Last	Change	Settle	Volume	Open Interest
44500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	7624.00 	0 	4
44500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	168.00 	0 	849
45000 	C 	7100.00 	7100.00 	7100.00 	7100.00 	-6.64 	7148.00 	1 	883
45000 	P 	200.00 	200.00 	196.00 	196.00 	25.64 	190.00 	3 	627
45500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	6676.00 	0 	8
45500 	P 	220.00 	226.00 	220.00 	226.00 	27.68 	215.00 	2 	103
46000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	6207.00 	0 	36
46000 	P 	254.00 	254.00 	254.00 	254.00 	27.00 	244.00 	2 	176
46500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	5746.00 	0 	15
46500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	280.00 	0 	34
47000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	5290.00 	0 	97
47000 	P 	310.00 	340.00 	310.00 	340.00 	28.79 	322.00 	4 	208
47500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	4843.00 	0 	365
47500 	P 	436.00 	436.00 	382.00 	382.00 	26.07 	373.00 	5 	266
48000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	4402.00 	0 	86
48000 	P 	410.00 	456.00 	410.00 	456.00 	30.66 	429.00 	7 	190
48500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	3976.00 	0 	144
48500 	P 	575.00 	575.00 	565.00 	565.00 	38.48 	501.00 	2 	297
49000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	3559.00 	0 	138
49000 	P 	570.00 	665.00 	565.00 	610.00 	29.24 	582.00 	43 	121
49400 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	N/A 	0 	-
49400 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	N/A 	0 	-
49500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	3153.00 	0 	29
49500 	P 	630.00 	695.00 	630.00 	695.00 	26.13 	673.00 	3 	132
49600 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	N/A 	0 	-
49600 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	N/A 	0 	-
49700 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	N/A 	0 	-
49700 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	N/A 	0 	-
